ultralytics/yolov5,ultralytics/yolov5.1,"['yolov3', 'yolov4', 'yolov5', 'object-detection', 'pytorch', 'onnx', 'coreml', 'ios', 'tflite', 'yolo', 'deep-learning', 'machine-learning', 'ml']",YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
abelriboulot/onnxt5,abelriboulot/onnxt5,"['nlp', 'nlp-machine-learning', 'onnx', 'onnxruntime', 'transformer', 'transformers', 'inference', 'summarization', 'translation', 'text-generation', 'text-classification', 'sentiment-analysis']","Summarization, translation, sentiment-analysis, text-generation and more at blazing speed using a T5 version implemented in ONNX."
cgarciae/treex,cgarciae/treex,"['jax', 'deep-learning']",A Pytree Module system for Deep Learning in JAX
mindslab-ai/nuwave,mindslab-ai/nuwave,"['upsampling', 'super-resolution', 'deep-learning', 'deep-generative-model', 'pytorch', 'neural-audio-upsampling']",NU-Wave: A Diffusion Probabilistic Model for Neural Audio Upsampling @ INTERSPEECH 2021
sberbank-ai/sber-swap,ai-forever/ghost,"['computer-vision', 'deep-learning', 'deepfake', 'faceswap', 'pytorch', 'deep-face-swap', 'face-swap', 'ghost', 'ghost-faceswap', 'ghost-swap']",A new one shot face swap approach for image and video domains
angeloucn/cfpnet-medicine,AngeLouCN/CFPNet-Medicine,"['medical-image-segmentation', 'real-time-semantic-segmentation', 'keras', 'python3']",A keras-based real-time model for medical image segmentation (CFPNet-M)
arthur151/centerhmr,Arthur151/ROMP,"['3d-mesh-recovery', 'bottom-up', 'multi-person-3d-mesh-recovery', 'smpl', 'multi-person', 'pytorch', 'pose-estimation']","Monocular, One-stage, Regression of Multiple 3D People, ROMP[ICCV21], BEV[CVPR22]"
jiaxi-jiang/fbcnn,jiaxi-jiang/FBCNN,"['image-restoration', 'jpeg-artifacts-removal', 'deep-learning', 'iccv2021', 'pytorch', 'computer-vision', 'image-processing', 'image-denoising', 'fbcnn', 'jpeg-compression', 'jpeg-deblocking', 'image-forensics', 'image-compression']","Official Code for ICCV 2021 paper ""Towards Flexible Blind JPEG Artifacts Removal (FBCNN)"""
haochen-rye/nerv,haochen-rye/NeRV,[],Official Pytorch implementation for video neural representation (NeRV)
babelscape/rebel,Babelscape/rebel,"['nlp', 'natural-language-processing', 'natural-language-generation', 'relation-extraction', 'entity-linking']",REBEL is a seq2seq model that simplifies Relation Extraction (EMNLP 2021).
wenxuan-1119/transbts,Wenxuan-1119/TransBTS,"['pytorch', 'medical-image-segmentation', 'transformer']","This repo provides the official code for : 1) TransBTS: Multimodal Brain Tumor Segmentation Using Transformer (https://arxiv.org/abs/2103.04430) , accepted by MICCAI2021.  2) TransBTSV2: Towards Better and More Efficient Volumetric Segmentation of Medical Images(https://arxiv.org/abs/2201.12785)."
mcahny/vps,mcahny/vps,[],"Official pytorch implementation for ""Video Panoptic Segmentation"" (CVPR 2020 Oral)"
intellabs/bayesian-torch,IntelLabs/bayesian-torch,"['bayesian-deep-learning', 'bayesian-neural-networks', 'stochastic-variational-inference', 'uncertainty-estimation', 'pytorch', 'bayesian-layers', 'deep-learning', 'bayesian-inference', 'uncertainty-quantification', 'uncertainty-neural-networks', 'deep-neural-networks']",A library for Bayesian neural network layers and uncertainty estimation in Deep Learning extending the core of PyTorch
nvlabs/wetectron,NVlabs/wetectron,"['object-detection', 'weakly-supervised-learning', 'computer-vision', 'deep-learning']",Weakly-supervised object detection.
casualganpapers/make-a-scene,CasualGANPapers/Make-A-Scene,"['gans', 'generative-adversarial-network', 'vqgan']",Pytorch implementation of Make-A-Scene: Scene-Based Text-to-Image Generation with Human Priors
ayaka14732/tpu-starter,ayaka14732/tpu-starter,"['tpu', 'deep-learning', 'cloud-tpu', 'google-cloud-platform', 'gcp', 'machine-learning', 'jax']",Everything you want to know about Google Cloud TPU
lucidrains/segformer-pytorch,lucidrains/segformer-pytorch,"['artificial-intelligence', 'deep-learning', 'attention-mechanism', 'multilayer-perceptron', 'segmentation', 'image-segmentation']","Implementation of Segformer, Attention + MLP neural network for segmentation, in Pytorch"
abhishekkrthakur/mlspace,abhishekkrthakur/mlspace,"['machine-learning', 'deep-learning', 'docker', 'cuda', 'cudnn', 'code-server', 'jupyter']",MLSpace: Hassle-free machine learning & deep learning development
materialsvirtuallab/maml,materialsvirtuallab/maml,"['materials-science', 'machine-learning', 'deep-learning', 'machine-learning-force-field', 'spectroscopy', 'materials-discovery']","Python for Materials Machine Learning, Materials Descriptors, Machine Learning Force Fields, Deep Learning, etc."
lucidrains/egnn-pytorch,lucidrains/egnn-pytorch,"['artificial-intelligence', 'deep-learning', 'equivariance', 'graph-neural-network']","Implementation of E(n)-Equivariant Graph Neural Networks, in Pytorch"
lucidrains/se3-transformer-pytorch,lucidrains/se3-transformer-pytorch,"['artificial-intelligence', 'deep-learning', 'attention-mechanism', 'transformer', 'equivariance', 'se3']","Implementation of SE3-Transformers for Equivariant Self-Attention, in Pytorch. This specific repository is geared towards integration with eventual Alphafold2 replication."
iffix/machin,iffiX/machin,"['reinforcement-learning', 'deep-learning', 'pytorch', 'pytorch-reinforcement-learning', 'dqn', 'ddpg', 'sac', 'ppo', 'td3', 'prioritized-experience-replay', 'distributed', 'a3c-pytorch', 'python', 'pytorch-lightning']","Reinforcement learning library(framework) designed for PyTorch, implements DQN, DDPG, A2C, PPO, SAC, MADDPG, A3C, APEX, IMPALA ..."
as-ideas/deepphonemizer,as-ideas/DeepPhonemizer,"['pytorch', 'deep-learning', 'transformer', 'grapheme-to-phoneme', 'g2p', 'ipa', 'phonemization', 'phonemes']",Grapheme to phoneme conversion with deep learning.
j-marple-dev/model_compression,j-marple-dev/model_compression,"['pruning', 'quantization', 'lottey-ticket-hypothesis', 'pytorch']",PyTorch Model Compression
lmnt-com/wavegrad,lmnt-com/wavegrad,"['machine-learning', 'neural-network', 'speech-synthesis', 'text-to-speech', 'wavegrad', 'paper', 'pytorch', 'vocoder', 'speech', 'pretrained-models', 'tts', 'deep-learning']","A fast, high-quality neural vocoder."
nmwsharp/diffusion-net,nmwsharp/diffusion-net,[],Pytorch implementation of DiffusionNet for fast and robust learning on 3D surfaces like meshes or point clouds.
leopard-ai/betty,leopard-ai/betty,"['autodiff', 'automatic-differentiation', 'bilevel-optimization', 'meta-learning', 'multilevel-optimization', 'hyperparameter-optimization', 'neural-architecture-search', 'reinforcement-learning', 'artificial-intelligence', 'machine-learning', 'deep-learning', 'implicit-differentiation', 'pytorch']",Betty: an automatic differentiation library for generalized meta-learning and multilevel optimization
google-research/l2p,google-research/l2p,"['deep-learning', 'continual-learning', 'jax']",Learning to Prompt (L2P) for Continual Learning @ CVPR22 and DualPrompt: Complementary Prompting for Rehearsal-free Continual Learning @ ECCV22
oneflow-inc/libai,Oneflow-Inc/libai,"['oneflow', 'nlp', 'deep-learning', 'large-scale', 'data-parallelism', 'model-parallelism', 'distributed-training', 'pipeline-parallelism', 'transformer', 'self-supervised-learning', 'vision-transformer']",LiBai(李白): A Toolbox for Large-Scale Distributed Parallel Training
allenai/allenact,allenai/allenact,"['reinforcement-learning', 'embodied-agent', 'ai', 'research', 'python', 'deep-learning', 'ai2', 'computer-vision']",An open source framework for research in Embodied-AI from AI2.
zjjconan/simam,ZjjConan/SimAM,[],"The official pytorch implemention of our ICML paper ""SimAM: A Simple, Parameter-Free Attention Module for Convolutional Neural Networks""."
xyupeng/contrastivecrop,xyupeng/ContrastiveCrop,"['pytorch', 'self-supervised-learning', 'contrastive-learning']",[CVPR 2022 Oral] Crafting Better Contrastive Views for Siamese Representation Learning
mit-han-lab/e3d,mit-han-lab/e3d,"['3d-perception', 'deep-learning', 'point-cloud']",Efficient 3D Deep Learning
kyzhouhzau/nlpgnn,kyzhouhzau/NLPGNN,"['tensorflow2', 'bert', 'gpt2', 'albert', 'bert-ner', 'bert-cls', 'textcnn', 'bilstm-attention', 'albert-ner', 'tf2', 'message-passing', 'gcn', 'gin', 'gan', 'graph-convolutional-networks', 'graphsage', 'graph-classfication', 'textgcn', 'nlp', 'gnn']","1. Use BERT, ALBERT and GPT2 as  tensorflow2.0's layer.  2. Implement GCN, GAN, GIN and GraphSAGE based on message passing."
plantl-gob-es/lm-spanish,PlanTL-GOB-ES/lm-spanish,"['language-model', 'embeddings', 'corpora', 'benchmarks', 'transformers', 'nlp']","Official source for spanish Language Models and resources made @ BSC-TEMU within the ""Plan de las Tecnologías del Lenguaje"" (Plan-TL)."
decile-team/cords,decile-team/cords,"['energy', 'machine-learning', 'deep-learning', 'energy-requirements', 'compute-efficient-ml', 'speedups-training']","Reduce end to end training time from days to hours (or hours to minutes), and energy requirements/costs by an order of magnitude using coresets and data selection."
opendilab/di-engine-docs,opendilab/DI-engine-docs,"['reinforcement-learning', 'reinforcement-learning-algorithms', 'imitation-learning', 'inverse-reinforcement-learning', 'multi-agent-reinforcement-learning', 'offline-rl', 'model-based-reinforcement-learning', 'deep-learning', 'pytorch-rl']",DI-engine docs (Chinese and English)
superinsight/superinsight-db,superinsight/superinsight-db,"['approximate-nearest-neighbor-search', 'database', 'faiss', 'image-search', 'machine-learning', 'nearest-neighbor-search', 'postgres', 'postgresql', 'relational-database', 'similarity-search', 'sql', 'vector-database', 'vector-search', 'superinsight', 'transformer', 'embeddings', 'transformers']",Relational Database for Unstructured Data
lucidrains/routing-transformer,lucidrains/routing-transformer,"['artificial-intelligence', 'deep-learning', 'attention-mechanism', 'transformer', 'pytorch']",Fully featured implementation of Routing Transformer
replicable-marl/marllib,Replicable-MARL/MARLlib,"['multi-agent-reinforcement-learning', 'ray', 'reinforcement-learning', 'rllib', 'pytorch']",The MARL extension for RLlib. A benchmark for research and industry.
wenet-e2e/wespeaker,wenet-e2e/wespeaker,"['asv', 'ecapa-tdnn', 'production-ready', 'pytorch', 'resnet', 'speaker-recognition', 'speaker-verification', 'tdnn', 'xvector', 'speaker-diarization', 'cn-celeb', 'voxceleb', 'repvgg']",Research and Production Oriented Speaker Recognition Toolkit
dvlab-research/stratified-transformer,dvlab-research/Stratified-Transformer,"['cvpr2022', 'point-cloud', 'semantic-segmentation', 'transformer']",Stratified Transformer for 3D Point Cloud Segmentation (CVPR 2022)
carla-recourse/carla,carla-recourse/CARLA,"['python', 'machine-learning', 'artificial-intelligence', 'explainable-ai', 'explainable-ml', 'explainability', 'counterfactual-explanations', 'counterfactuals', 'counterfactual', 'recourse', 'benchmark', 'benchmarking', 'tensorflow', 'tensorflow2', 'pytorch']",CARLA: A Python Library to Benchmark Algorithmic Recourse and Counterfactual Explanation Algorithms
stable-baselines-team/stable-baselines3-contrib,Stable-Baselines-Team/stable-baselines3-contrib,"['reinforcement-learning', 'stable-baselines', 'pytorch', 'rl', 'gym', 'research', 'experimental', 'robotics', 'openai', 'machine-learning', 'reinforcement-learning-algorithms', 'gsde', 'sde']",Contrib package for Stable-Baselines3 -  Experimental reinforcement learning (RL) code
longxingtan/tfyolo,LongxingTan/tfyolo,"['yolov5', 'object-detection', 'you-only-look-once', 'tensorflow']",tfyolo: Efficient implementation of Yolov5 in TensorFlow2
pinatafarms/dad-3dheads,PinataFarms/DAD-3DHeads,"['3d-computer-vision', '3d-face-alignment', '3d-face-modelling', '3d-face-reconstruction', '3d-head', '3d-reconstruction', 'computer-vision', 'cvpr', 'cvpr2022', 'machine-learning', 'papers-with-code', 'pytorch', '3dmm', 'dataset', 'face-alignment', 'face-reenactment', 'first-order-motion-model', 'flame', 'head-pose-estimation']","Official repo for DAD-3DHeads: A Large-scale Dense, Accurate and Diverse Dataset for 3D Head Alignment from a Single Image (CVPR 2022)."
sczhou/ignn,sczhou/IGNN,"['deep-learning', 'super-resolution', 'image-preprocessing', 'image-restoration']",[NeurIPS 2020] Cross-Scale Internal Graph Neural Network for Image Super-Resolution
henry1iu/tnt-trajectory-predition,Henry1iu/TNT-Trajectory-Prediction,[],A Pytorch Implementation of TNT: Target-driveN Trajectory Prediction
graspnet/graspnet-baseline,graspnet/graspnet-baseline,"['point-cloud', 'grasping', '3d', 'deep-learning', 'robotics', 'graspnet-1billion']","Baseline model for ""GraspNet-1Billion: A Large-Scale Benchmark for General Object Grasping"" (CVPR 2020)"
nicholasli1995/evoskeleton,Nicholasli1995/EvoSkeleton,"['human-pose-estimation', '3d-pose-estimation', 'data-augmentation', '2d-to-3d', 'deep-learning', 'evolutionary-algorithms', 'bias-correction', 'dataset', 'annotaton-tool', '3d-computer-vision', 'cvpr2020', 'geometric-deep-learning', 'generalization-on-diverse-scenes', 'feed-forward-neural-networks', 'synthetic-data', 'kinematic-trees', '3d-human-pose', 'smpl', 'cvpr']","Official project website for the CVPR 2020 paper (Oral Presentation) ""Cascaded deep monocular 3D human pose estimation wth evolutionary training data"""
unbabel/comet,Unbabel/COMET,"['machine-translation', 'evaluation-metrics', 'natural-language-processing', 'machine-learning', 'artificial-intelligence', 'nlp']", A Neural Framework for MT Evaluation
deliton/idt,deliton/idt,"['deep-learning', 'duckgo', 'search-engine', 'mount', 'idt', 'download', 'download-images', 'flickr-api', 'bing', 'bing-api', 'scraping', 'scraping-web', 'image-datasets', 'image-download', 'download-dataset']",Image Dataset Tool (idt) is a cli tool designed to make the otherwise repetitive and slow task of creating image datasets into a fast and intuitive process.
edilgin/deepforspeed,edilgin/DeepForSpeed,"['neural-network', 'deep-learning', 'self-driving-car', 'convolutional-neural-networks']",ConvNet learns to play Need For Speed
yl4579/starganv2-vc,yl4579/StarGANv2-VC,"['voice-conversion', 'speech-synthesis', 'gan', 'deep-learning', 'speech', 'stargan-v2', 'interspeech2021']","StarGANv2-VC: A Diverse, Unsupervised, Non-parallel Framework for Natural-Sounding Voice Conversion"
gandersen101/spaczz,gandersen101/spaczz,"['natural-language-processing', 'data-science', 'python', 'nlp', 'artificial-intelligence', 'ai', 'spacy', 'nlp-library', 'fuzzy-matching', 'regex', 'spacy-extensions', 'spacy-extension', 'rapidfuzz']",Fuzzy matching and more functionality for spaCy.
smousavi05/eqtransformer,smousavi05/EQTransformer,"['earthquakes', 'detection', 'phase-picking', 'deep-learning', 'neural-network', 'lstm-neural-networks', 'attention-mechanism', 'transformer', 'multi-task-learning', 'global', 'stead']","EQTransformer, a python package for earthquake signal detection and phase picking using AI."
zihangjiang/tokenlabeling,zihangJiang/TokenLabeling,"['imagenet', 'vision', 'transformer', 'lv-vit', 'pytorch', 'segmentation']","Pytorch implementation of ""All Tokens Matter: Token Labeling for Training Better Vision Transformers"""
longxingtan/tf-yolo,LongxingTan/tfyolo,"['yolov5', 'object-detection', 'you-only-look-once', 'tensorflow']",tfyolo: Efficient implementation of Yolov5 in TensorFlow2
huggingface/exporters,huggingface/exporters,"['coreml', 'deep-learning', 'machine-learning', 'model-converter', 'pytorch', 'tensorflow', 'tflite', 'transformer', 'coremltools']",Export Hugging Face models to Core ML and TensorFlow Lite
sunyilgdx/nsp-bert,sunyilgdx/NSP-BERT,"['bert', 'zero-shot', 'prompt-learning', 'sentence-classification', 'sentiment-analysis', 'natural-language-inference', 'correference-resolution', 'entity-linking', 'entity-typing', 'nlp', 'text-classification', 'tensorflow']","The code for our paper ""NSP-BERT: A Prompt-based Zero-Shot Learner Through an Original Pre-training Task —— Next Sentence Prediction"""
wpeebles/g.pt,wpeebles/G.pt,"['deep-learning', 'diffusion-models', 'pytorch', 'transformers']",Official PyTorch Implementation of Learning to Learn with Generative Models of Neural Network Checkpoints
pandora-intelligence/concise-concepts,Pandora-Intelligence/concise-concepts,"['few-shot-classifcation', 'ner', 'spacy', 'gensim', 'natural-language-processing', 'nlp', 'machine-learning', 'hacktoberfest']",This repository contains an easy and intuitive approach to few-shot NER using most similar expansion over spaCy embeddings. Now with entity scoring. 
